Estatus	Programa	Región	Área	Coordinación	Estado	Municipio	Localidad	Nombre	Sedes	Direcciones	Horarios	Rama Artística (DT)	Año de creación	Atención a las causas	Número promotores	Cantidad de participantes	Niñas	Niños	Mujeres Jóvenes	Hombres Jóvenes	Mujeres adultas	Hombres adultos	Personas con Discapacidad	Personas Indígenas	Personas Afromexicanas	lat	lon	Consecutivo	Municipio Concatenado	Cantidad de público participante	Número de sesiones	Proyecto PAICE	Presupuesto PAICE
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Bácum	Bácum	Semillero Creativo de Literatura y Escritura Creativa en Cultura Yaqui en Bácum, Sonora	Albergue General Luis Matuz	Domicilio conocido, localidad Loma de Bácum, Sonora, CP. 85276.	Lunes a viernes de 15:00 a 18:30 h.	Creación Literaria	2023	No		32										27.589871	-110.0853681	341	SonoraBácum				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Cajeme	Ciudad Obregón	Semillero Creativo de Literatura y Escritura Creativa en Cajeme, Sonora	"Sede 1: Centro de Promoción Social del Valle del Yaqui A.C. (PROVAY)
Sede 2: Albergue Infantil Itom Kary"	"Sede 1: Calle Esmeralda #1822 Oriente, colonia Valle Verde, Ciudad Obregón, Sonora.  C. P. 85097
Sede 2: Jardines del Lago, #2601, Ciudad Obregón, Sonora, CP 85180"	"Sede 1: jueves y viernes  15:30 a 18:30 y sábados de  9 a 12 h.
Sede 2. lunes martes y miércoles 15 a 18:30 h"	Creación Literaria	2023	Sí		78										27.484619	-109.9235391	342	SonoraCajeme				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Cajeme	Loma de Guamúchil	Semillero Creativo de Radio y Producción Audiovisual en Cultura Yaqui en Cajeme, Sonora	Biblioteca Pública Loma de Guamuchil	Domicilio conocido, Loma de Guamuchil, Cajeme, Sonora. C.P. 85217	Lunes a viernes de 14 a 18 h.	Radio	2023	Sí		9										27.6194237	-110.4161424	343	SonoraCajeme				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Empalme	Empalme	Semillero Creativo de Danza Urbana en Empalme, Sonora	Academia de Danza Y-studio	Lote 6 manzana 7, Calle 16 y Americas, Col.Libertad, Empalme, Sonora, CP. 85370	Lunes a viernes de 16 a 19 h. y sábado de 11 a 13 h	Artes Escénicas	2020	No		16										27.9563898	-110.8002919	344	SonoraEmpalme				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Etchojoa	Basconcobe	Semillero Creativo de Danza Regional en Etchojoa, Sonora	Escuela Primaria "José María Morelos y Pavón "	Calle 18 de Marzo, entre Calle 5 de Febrero y Calle Lázaro Cárdenas del Rio, Etchojoa, Sonora, CP. 85287	Lunes a viernes de 14 a 20h.	Artes Escénicas	2020	No		18										26.9536996	-109.6707756	345	SonoraEtchojoa				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Etchojoa	Guayparín	Semillero Creativo de Cultura Mayo-Yoreme en Etchojoa, Sonora	Escuela Primaria Indígena Benito Juárez	Calle Principal, S/N, Colonia Centro, Guayparín Bajío, Etchojoa, Sonora, CP. 85287.	Lunes a viernes de 14 a 18 h.	Saberes tradicionales	2023	No		18										26.9727487	-109.6547235	346	SonoraEtchojoa				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Heroica Guaymas	Semillero Creativo de Fotografía en Guaymas, Sonora	Escuela Primaria Cuauhtémoc	Tercera avenida, Ranchitos Campestre San Carlos Nuevo ,Guaymas, Sonora, CP. 85400	Lunes a viernes de 14 a 18 h.	Artes Visuales	2020	No		23										28.0092521	-110.9294142	347	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Huiribis	Semillero Creativo de Teatro y Títeres en Lengua Yaqui en Huiribis, en Guaymas, Sonora	Centro Asistencial de Desarrollo Infantil (CADI) Petra Amarillas	Domicilio conocido Huiribis, Guaymas, Sonora ,CP 85513	Martes, miércoles y jueves de 14 a 16 h. y Sábado de 10 a 15 h.	Artes Escénicas	2023	No		21										27.690775	-110.4780832	348	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Pitahaya (Belem)	Semillero Creativo de Danza Regional en Pitahaya, en Guaymas, Sonora	Escuela Primaria General Ignacio Mori	Loc. Pitahaya S/N, Guaymas, Sonora, CP. 85513	Lunes a viernes de 14 a 18 h.	Artes Escénicas	2024	No		38										27.7731286	-110.4400173	349	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Pótam	Semillero Creativo de Teatro en Lengua Yaqui en Pótam, en Guaymas, Sonora	Centro Asistencial de Desarrollo Infantil CADI Nueva Creación en el Barrio Santemea	Potam, Barrio Santemea, S/N ,Guaymas, Sonora, CP 85513	Miércoles, jueves y viernes de 14 a 18:30 h y sábado de 9 a 15 h.	Artes Escénicas	2023	No		36										27.6283324	-110.4168264	350	SonoraGuaymas				
